experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,process_timestamp,ml_timestamp
EA_1,r6,69.63175700293198,1753175507.482389,1753175507.5543156,1753175507.628,1753175507.65024
EA_1,r6,69.63212719223198,1753175514.3892658,1753175514.4475727,1753175514.537,1753175514.563098
EA_1,r6,69.63167230345493,1753175521.3736506,1753175521.4342303,1753175521.445,1753175521.4684124
EA_1,r6,69.63946808872416,1753175528.2672637,1753175528.3579576,1753175528.455,1753175528.4745955
EA_1,r6,69.6473925810987,1753175535.144094,1753175535.2011964,1753175535.263,1753175535.286831
EA_1,r6,69.64712182891563,1753175542.186985,1753175542.2586482,1753175542.272,1753175542.2943048
EA_1,r6,69.64699259109798,1753175549.1203167,1753175549.1961684,1753175549.281,1753175549.3040135
EA_1,r6,69.64675437315893,1753175555.965281,1753175556.0235004,1753175556.09,1753175556.1118243
EA_1,r6,69.64749189299326,1753175562.931565,1753175563.0092497,1753175563.098,1753175563.1213865
EA_1,r6,69.64703125716842,1753175569.8272562,1753175569.9145434,1753175570.006,1753175570.0286045
EA_1,r6,69.64713502091257,1753175576.6522737,1753175576.713037,1753175576.814,1753175576.8376794
EA_1,r6,69.64720699604948,1753175583.6123412,1753175583.688809,1753175583.723,1753175583.74639
EA_1,r6,69.65932243586256,1753175590.4021616,1753175590.4883378,1753175590.531,1753175590.5504057
EA_1,r6,69.6621710715132,1753175597.4624465,1753175597.5237374,1753175597.538,1753175597.5599906
EA_1,r6,69.66268733593994,1753175604.299861,1753175604.3739727,1753175604.444,1753175604.463813
EA_1,r6,69.66228150630586,1753175611.0480506,1753175611.1060164,1753175611.152,1753175611.1719368
EA_1,r6,69.6625000928826,1753175617.9413073,1753175617.9991763,1753175618.058,1753175618.0731041
EA_1,r6,69.66226730522546,1753175624.9062653,1753175624.9815273,1753175624.996,1753175625.0149236
EA_1,r6,69.66229108400913,1753175631.8671422,1753175631.9297805,1753175632.002,1753175632.0222638
EA_1,r6,69.66243894422794,1753175638.8781838,1753175638.9395564,1753175639.007,1753175639.026827
EA_1,r6,69.66426552670512,1753175645.7772105,1753175645.8539798,1753175645.913,1753175645.9335485
EA_1,r6,69.6770038792784,1753175652.7834368,1753175652.8454137,1753175652.921,1753175652.9412487
EA_1,r6,69.67773268814551,1753175659.7100785,1753175659.801052,1753175659.827,1753175659.850128
EA_1,r6,69.67768444758103,1753175666.6735601,1753175666.7369876,1753175666.832,1753175666.8525379
EA_1,r6,69.67751199528145,1753175673.6615388,1753175673.724027,1753175673.74,1753175673.7607472
EA_1,r6,69.677614949764,1753175680.673598,1753175680.7686658,1753175680.848,1753175680.8682222
EA_1,r6,69.67764806063353,1753175687.5822427,1753175687.640908,1753175687.656,1753175687.6752353
EA_1,r6,69.67762447566962,1753175694.462316,1753175694.518928,1753175694.562,1753175694.5822608
EA_1,r6,69.67764767955478,1753175701.2967646,1753175701.4058204,1753175701.467,1753175701.4872694
EA_1,r6,69.67750546490517,1753175708.2454164,1753175708.3024664,1753175708.375,1753175708.3948178
EA_1,r6,69.67769016149252,1753175715.0907326,1753175715.148437,1753175715.182,1753175715.201858
EA_1,r6,69.67830343992551,1753175721.8453844,1753175721.9384112,1753175721.991,1753175722.0106611
EA_1,r6,69.67688179373988,1753175728.7315254,1753175728.7919676,1753175728.798,1753175728.8207452
EA_1,r6,69.67793024860251,1753175735.652217,1753175735.7155452,1753175735.807,1753175735.829968
EA_1,r6,69.67739379642079,1753175742.4832199,1753175742.5573845,1753175742.612,1753175742.6341257
EA_1,r6,69.67752972580651,1753175749.7796826,1753175749.8391693,1753175749.917,1753175749.9392374
EA_1,r6,69.6783540515356,1753175756.6461742,1753175756.7195137,1753175756.822,1753175756.8447418
EA_1,r6,69.67764178765506,1753175763.4956417,1753175763.570552,1753175763.627,1753175763.6490333
EA_1,r6,69.67727549524251,1753175770.5242395,1753175770.5819924,1753175770.632,1753175770.6550887
EA_1,r6,69.67757896675326,1753175777.603103,1753175777.675774,1753175777.739,1753175777.7616425
EA_1,r6,69.67756502091035,1753175784.4183893,1753175784.4756794,1753175784.547,1753175784.5785756
EA_1,r6,69.67818706172764,1753175791.288608,1753175791.3669887,1753175791.454,1753175791.4770567
EA_1,r6,69.67694749229476,1753175798.1603413,1753175798.2300205,1753175798.262,1753175798.2843983
EA_1,r6,69.67778293282893,1753175805.0006943,1753175805.0643892,1753175805.069,1753175805.0923152
EA_1,r6,69.67729254281826,1753175811.8919978,1753175811.9701755,1753175811.978,1753175812.0004513
EA_1,r6,69.67775257485084,1753175818.6735065,1753175818.747567,1753175818.785,1753175818.8079183
EA_1,r6,69.67805521392684,1753175825.5381522,1753175825.5963314,1753175825.693,1753175825.714607
EA_1,r6,69.67759029389113,1753175832.6577933,1753175832.73472,1753175832.799,1753175832.818947
EA_1,r6,69.67732835010936,1753175839.5144894,1753175839.586581,1753175839.606,1753175839.6189575
EA_1,r6,69.67817806651496,1753175846.3907423,1753175846.447163,1753175846.514,1753175846.5355825
EA_1,r6,69.67768859497114,1753175853.279773,1753175853.3586318,1753175853.421,1753175853.4433827
EA_1,r6,69.67711469559636,1753175860.1217415,1753175860.1952224,1753175860.228,1753175860.2512817
EA_1,r6,69.67795290262389,1753175866.9478161,1753175867.0079675,1753175867.035,1753175867.0539606
EA_1,r6,69.67751258806123,1753175873.8931692,1753175873.9658978,1753175874.041,1753175874.060446
EA_1,r6,69.67758135473788,1753175880.941547,1753175881.015885,1753175881.048,1753175881.0678005
EA_1,r6,69.67732304907271,1753175887.8147008,1753175887.8749743,1753175887.955,1753175887.9738793
EA_1,r6,69.67781268027665,1753175894.6671555,1753175894.7386181,1753175894.761,1753175894.7801142
EA_1,r6,69.67802917676384,1753175901.5908003,1753175901.6497421,1753175901.667,1753175901.690161
EA_1,r6,69.67719714654831,1753175908.473108,1753175908.530391,1753175908.574,1753175908.5967174
EA_1,r6,69.67740855882312,1753175915.3387706,1753175915.4155066,1753175915.481,1753175915.5030353
EA_1,r6,69.67764697428824,1753175922.2018125,1753175922.2785869,1753175922.288,1753175922.3110173
EA_1,r6,69.67813745790801,1753175929.01459,1753175929.0722668,1753175929.095,1753175929.1173232
EA_1,r6,69.67716124249372,1753175935.8864255,1753175935.962104,1753175936.003,1753175936.0256703
EA_1,r6,69.67757398145415,1753175942.7833865,1753175942.8657305,1753175942.91,1753175942.929682
EA_1,r6,69.67825359909742,1753175949.783001,1753175949.845077,1753175949.918,1753175949.9371457
EA_1,r6,69.67699308575847,1753175956.6861587,1753175956.7601836,1753175956.827,1753175956.8462896
